2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph j: glyph(frame 9, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph k: glyph(frame 10, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph l: glyph(frame 11, advance 81px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph m: glyph(frame 12, advance 113px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph n: glyph(frame 13, advance 113px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph o: glyph(frame 14, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph p: glyph(frame 15, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph q: glyph(frame 16, advance 97px, offset -16px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph r: glyph(frame 17, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph s: glyph(frame 18, advance 97px, offset 0px)
2026.09.20@14:50:04.549: [Test Scene 1] [Information] Glyph t: glyph(frame 19, advance 81px, offset 0px)
2026.09.20@14:50:04.549: [Test Scene 1] [Information] Glyph u: glyph(frame 20, advance 97px, offset 0px)
2026.09.20@14:50:04.549: [Test Scene 1] [Information] Glyph v: glyph(frame 21, advance 113px, offset 0px)
2026.09.20@14:50:04.549: [Test Scene 1] [Information] Glyph w: glyph(frame 22, advance 113px, offset 0px)
2026.09.20@14:50:04.549: [Test Scene 1] [Information] Glyph x: glyph(frame 23, advance 113px, offset 0px)
2026.09.20@14:50:04.549: [Test Scene 1] [Information] Glyph y: glyph(frame 24, advance 113px, offset 0px)
2026.09.20@14:50:04.549: [Test Scene 1] [Information] Glyph z: glyph(frame 25, advance 81px, offset 0px)
2026.09.20@14:50:04.549: [Test Scene 1] [Information] Glyph {: glyph(frame 87, advance 81px, offset 0px)
2026.09.20@14:50:04.549: [Test Scene 1] [Information] Glyph |: glyph(frame 89, advance 49px, offset -16px)
2026.09.20@14:50:04.549: [Test Scene 1] [Information] Glyph }: glyph(frame 88, advance 81px, offset 0px)
2026.09.20@14:50:04.549: [Test Scene 1] [Information] Glyph ~: glyph(frame 74, advance 97px, offset 48px)
2026.09.20@14:50:12.571: [MarasmiumKit App] [Information] Finished main application loop
2026.09.20@14:50:12.572: [MarasmiumKit App] [Information] Destroying MarasmiumKit application framework
2026.09.20@14:50:12.572: [MarasmiumKit App] [Information] Freeing all scenes
2026.09.20@14:50:12.572: [Test Scene 1] [Information] Leaving test scene 1
2026.09.20@14:50:12.572: [Test Scene 1] [Information] Destroying test scene 1
2026.09.20@14:50:12.572: [MarasmiumKit App] [Information] Destroying graphics system
2026.09.20@14:50:12.572: [Graphics System] [Information] Destroying graphics system
2026.09.20@14:50:12.572: [MarasmiumKit App] [Information] Destroying audio system
2026.09.20@14:50:12.572: [Audio System] [Information] Destroying audio system
2026.09.20@14:50:12.572: [Audio System] [Information] Destroying sound effects audio subsystem
2026.09.20@14:50:12.572: [Audio System] [Information] Stopping all sound effects
2026.09.20@14:50:12.572: [Audio System] [Information] Destroying music audio subsystem
2026.09.20@14:50:12.572: [MarasmiumKit App] [Information] Destroying asset management system
2026.09.20@14:50:12.572: [Asset Management System] [Information] Destroying asset management system
2026.09.20@14:50:12.572: [Asset Management System] [Information] Freeing 0 audio tracks
2026.09.20@14:50:12.572: [Asset Management System] [Information] Freeing 3 animations
2026.09.20@14:50:12.572: [Asset Management System] [Information] Freeing 2 typefaces
2026.09.20@14:50:12.572: [MarasmiumKit App] [Information] Destroying network client
